Variable,Mean,Median,Maximum,Minimum
cars,0.9454054054054054,0.95,1.01,0.8
light_commercial_vehicles,1.1681756756756756,1.17,1.25,0.94
heavy_goods_vehicles,1.035472972972973,1.04,1.09,0.83
all_motor_vehicles,0.9939189189189189,1,1.05,0.83
tfl_tube,0.8047674418604651,0.81,0.94,0.72
tfl_bus,0.862906976744186,0.86,0.99,0.74
bus_excluding_london,0.8618243243243243,0.88,0.98,0.67
national_rail,0.9554744525547445,0.96,1.04,0.71
national_rail_noCR,0.8564233576642336,0.86,0.93,0.65
mean_text_similarity,0.2844401361347087,0.2866998702824399,0.4156836749742877,0.14942161992275751
